fund_id,category,expense_ratio,true_alpha_ann,true_group,start_date,end_date,n_months,beta_true,s_true,h_true,mom_true
0,Growth,0.022598247051879326,0.0,zero_alpha,1978-10-01,2001-02-01,269,1.2462336628036037,-0.10313399594302888,0.008732169528970836,-0.09583250586653855
1,Growth,0.017451223159761525,-0.04225086050515511,unskilled,1975-02-01,2006-09-01,380,1.0845791627049592,0.5267623645598021,0.24053098111140425,-0.23702101627784503
2,Aggressive Growth,0.020585564594394975,-0.03247131277126278,unskilled,1985-07-01,2005-02-01,236,0.9147800908828372,-0.06352168435439887,0.29793181459398294,-0.0316775858049749
3,Growth,0.018930785698094504,0.0,zero_alpha,1994-11-01,2003-10-01,108,1.0743067109193463,0.12438602256803313,0.09086170036932088,0.12839040449150227
4,Aggressive Growth,0.014251848492813322,0.0,zero_alpha,1975-01-01,1992-02-01,206,1.205891041806316,0.32630206489997604,0.41825444309080306,0.0631999633210717
5,Growth,0.018773479839211026,0.0,zero_alpha,1989-11-01,1997-02-01,88,1.2497433475012,-0.035048611645218414,-0.08127461131328381,0.08044217898715303
6,Growth,0.018272340351166868,0.0,zero_alpha,1980-09-01,2003-10-01,278,1.128033701689862,0.5680537839397636,-0.3365038084004853,0.05245254844690668
7,Growth,0.005134072398522489,0.0,zero_alpha,1978-05-01,2001-07-01,279,0.9538511680486998,0.18893208951710275,0.2006356135776339,0.08067912122685662
8,Aggressive Growth,0.018972758774557032,0.0,zero_alpha,1976-11-01,2004-12-01,338,0.9174960118916119,0.28521271157491745,-0.37771887834981255,0.09942676386300531
9,Growth & Income,0.010243190036456917,0.0,zero_alpha,1989-02-01,2003-03-01,170,1.0364104255342086,0.10309824799521856,-0.16100060453996087,-0.02120221434319273
10,Growth,0.015836456440000618,-0.03435186327146397,unskilled,1982-02-01,1995-05-01,160,1.201096174290657,0.3346800717542727,0.09402244648455928,0.03243358421294247
11,Growth,0.0072266477682170985,0.0,zero_alpha,1976-08-01,1983-06-01,83,1.0150653683321678,0.5646981849624656,-0.03047629600975616,0.2814887562304536
12,Growth,0.005460450031446802,-0.03066144268828082,unskilled,1980-12-01,1997-01-01,194,1.0181797807803217,0.13717851559419642,-0.04819055257430118,0.04130465435017085
13,Growth,0.005302394175511404,0.0,zero_alpha,1978-08-01,1996-05-01,214,0.9577096781475638,0.602428197687309,-0.24615800656400122,0.026384524468087707
14,Growth,0.008163890247458718,0.0,zero_alpha,1977-07-01,2002-11-01,305,0.9008163406053181,0.017101047905220546,-0.012160477886667402,0.03543267608395991
15,Growth & Income,0.005397850132203032,0.0,zero_alpha,1976-07-01,2001-10-01,304,0.9256798240034123,0.3610240098379275,0.19073249774755838,-0.012686277747432955
16,Aggressive Growth,0.0076479484170203695,0.0,zero_alpha,1978-06-01,1987-02-01,105,0.9703138977868294,0.29227858406076246,-0.006006416692796216,-0.04530339455812045
17,Growth,0.016183472107179485,0.0,zero_alpha,1994-02-01,2006-09-01,152,1.2077149994359733,-0.09714551817059233,-0.1760451759282122,0.051301778654814736
18,Growth,0.013005456631459921,-0.03343124366777846,unskilled,1976-09-01,1995-06-01,226,0.9140429332203797,0.22345242615933297,-0.2595076921194661,-0.05585728029387267
19,Growth,0.02461496245181307,0.0,zero_alpha,1987-10-01,2001-09-01,168,0.9578918113867071,0.1718414844625932,-0.17191891659111574,-0.0018272394215823294
20,Growth,0.021173887204344044,0.0,zero_alpha,1993-12-01,1999-07-01,68,0.8201933509390237,-0.043298044069211256,0.0684667504828717,-0.09857720597894307
21,Growth,0.00793551508977261,0.0,zero_alpha,1977-08-01,2005-05-01,334,1.0574946599709731,0.25950060854853163,0.05872045247194201,0.036201770680147606
22,Growth & Income,0.01333578786922111,-0.03270395443208192,unskilled,1981-09-01,2006-05-01,297,1.1550018768077424,0.2065723865271294,-0.17010142011913376,0.10762924162640412
23,Growth,0.013619415931266414,0.0,zero_alpha,1975-01-01,1994-01-01,229,1.1936746768935134,0.15185326317319583,-0.45215188439641163,-0.011787228986637286
24,Growth,0.012242335579025713,-0.03923028927194227,unskilled,1980-07-01,1994-01-01,163,0.9805046787043565,0.1528556327353288,0.07400255273443299,-0.28125676553339735
25,Growth,0.014911795613510723,0.0,zero_alpha,1975-10-01,2003-06-01,333,1.0361531424918853,0.14749743526909517,-0.1895414797950502,0.10855573160832074
26,Growth,0.018397490908909304,-0.02811331211969128,unskilled,1990-02-01,1995-12-01,71,0.9269674516744942,0.07807509468841814,0.1278124958030567,0.03802757641396405
